short_new,long,shorts
Mitford 1961,"T.B. Mitford, “Further contributions to the epigraphy of Cyprus,” AJA 65 (1961) 93-151.",Mitford 1961
Lapart 1987,"J. Lapart, “De Saint-Mézard et Valence-sur-Baïse. Les mosaïques gallo-romaines tardives,” Dossiers d’histoire et d’archéologie 120 (1987) 73.",Lapart 1987
Kufel-Dzierzgowska 1986,"J. Kufel-Dzierzgowska and J. Wielowiejski, “Neufund eines Bronzeeimers mit Delphinattaschen von Niechmirów - Mała Wieś, Woj. Sieradz, Polen,” Germania 64 (1986) 158-67.",Kufel-Dzierzgowska 1986
Ruiz Rodríguez 1987,"A. Ruiz Rodríguez and M. Molinos (eds.), Iberos: Actas de las I Jornadas sobre el Mundo Ibérico, Jaén, 1985, Jaén, 1987.",Ruiz Rodríguez 1987
Toussoun 1925,"O. Toussoun, Mémoire sur l’histoire du Nil, 3 vols., Mémoires présentés à l’Institut d’Egypte 8-10, Cairo, 1925.",Toussoun 1925
Lafon 1990,"X. Lafon, “Marina di San Nicola. Il complesso archeologico,” Bollettino di archeologia 4 (1990) 15-29.",Lafon 1990
Barron 1902,"T. Barron and W.F. Hume, Topography and geology of the Eastern Desert of Egypt, central portion, Cairo, 1902.",Barron 1902
Franz 1965,"L. Franz and A. R. Neumann (eds.), Lexikon ur- und frühgeschichtlicher Fundstellen Österreichs, Vienna and Bonn, 1965.",Franz 1965
Maggiani 1978,"A. Maggiani, “Ager Populoniensis?” in “Rivista di epigrafia etrusca,” StEtr 46 (1978) 364-66.",Maggiani 1978
Honoré 1968,"M. Honoré, “L’oppidum préromain du Baou-Rouge (commune d’Auriol, Bouches-du-Rhône) : note préliminaire,” CLPA 17 (1968) 102-30.",Honoré 1968
Lamb 1930,"W. Lamb, “Antissa,” BSA 31 (1930-31) 166-78.",Lamb 1930
CA Brescia,"F. Rossi (ed.), Carta archeologica della Lombardia. I. La Provincia di Brescia, Modena, 1991.",CA Brescia
Sauvaget 1934,"J. Sauvaget, “Le plan de Laodicée-sur-Mer,” Bulletin d’Etudes Orientales 4 (1934) 81-114.",Sauvaget 1934
Lambrick 1964,"H.T. Lambrick, Sind. A general introduction, Hyderabad, 1964.",Lambrick 1964
Lamb 1934,"W. Lamb, “Excavations at Kato Phana in Chios,” BSA 35 (1934-35) 138-63.",Lamb 1934
Bagnall 1996,"R.S. Bagnall et al., “A Ptolemaic inscription from Bir 'Iayyan,” Chronique d’Egypte 71 (1996) 317-30.",Bagnall 1996
Besançon 1995,"J. Besançon and B. Geyer, “La cuvette du Ruğ (Syrie du Nord) . Les conditions naturelles et les étapes de la mise en valeur,” Syria 72 (1995) 307-55.",Besançon 1995
Caballos Rufino 1981,"A. Caballos Rufino, “Iptuci, civitas stipendiaria del Conventus Gaditanus,” Gades 7 (1981) 37-46.",Caballos Rufino 1981
Frézouls 1960,"E. Frézouls, “Sur les divisions de la Séleucide, à propos de Strabon, XVI, 2,” MUSJ 37 (1960-61) 223-34.",Frézouls 1960
Jacopi 1931,"G. Jacopi, Esplorazione archeologica di Camiro, Clara Rhodos 4, 1931.",Jacopi 1931
Gantès 1990,"L.-F. Gantès and M. Moliner, Marseille, itinéraire d’une mémoire: cinq années d’archéologie municipale, Marseille, 1990.",Gantès 1990
Viviers 1994,"D. Viviers, “La cité de Dattalla et l’expansion territoriale de Lyktos en Crète centrale,” BCH 118 (1994) 229-59.",Viviers 1994
Girardi-Jurkić 1997,"V. Girardi, Jurkić, “Korištenje kamena u gradnji amfiteatra u Puli / The use of stone in the building of the Pula amphitheatre,” Histria Antiqua 3 (1997) 21-28.",Girardi-Jurkić 1997
Kleiss 1976b,"W. Kleiss and S. Kroll, “Zwei Plätze des 6. Jahrhunderts v. Chr. in Iranisch Azerbaidjan,” IranMitt 9 (1976) 107-24.",Kleiss 1976; Kleiss 1976a
al-Theeb 1993,"S.A.-R. al-Theeb, Aramaic and Nabataean inscriptions from north-west Saudi Arabia, Riyadh, 1993.",al-Theeb 1993
Ulbert 1989,"T. Ulbert, “Villes et fortifications de l’Euphrate à l’époque paléo-chrétienne (IV - VII s.),” in J.-M. Dentzer and W. Orthmann (eds.), Archéologie et histoire de la Syrie 2, pp. 283-96, Saarbrücken, 1989.",Ulbert 1989
Carandini 1985,"A. Carandini and A. Ricci (eds.), Settefinestre. Una villa schiavistica nell’Etruria romana, 3 vols., Modena, 1985.",Carandini 1985
Vicherd 1982,"J. Vicherd and M.-N. Baudrand, “Fouilles récentes à La Boisse (Ain) du bronze final au Bas-Empire,” RAE 33 (1982) 123-38.",Vicherd 1982
Kees 1961,"H. Kees, Ancient Egypt: a cultural topography, Chicago, 1961.",Kees 1961
Jadczyk 1981,"I. Jadczyk, “Osada książęca w Przywozie,” ZOW 47 (1981) 48-52.",Jadczyk 1981
Bott 1976,"H. Bott, “Zur datierung der Funde aus Hammersdorf (Ostpreussen),” JRGZM 23-24 (1976/77) 139-53.",Bott 1976
Pieri 1969,"S. Pieri, Toponomastica della Toscana meridionale e dell’arcipelago toscano, Siena, 1969.",Pieri 1969
Vighi 1940,"R. Vighi, “Anguillara Sabazia. Scoperta di una grande villa d’età repubblicana all’Acqua Claudia,” NSc (1940) 398-419.",Vighi 1940
EGSMA 1979,"Egyptian Geological Survey and Mining Authority, Mineral map of Egypt with explanatory notes and lists, Cairo, 1979.",EGSMA 1979
Kris 1981,"K.I. Kris, Kizil-Kobinskaya kul'tura i Tavry, Moscow, 1981.",Kris 1981
Büschenschütz 1990,"O. Büschenschütz and G. Mercadier, “Recherches sur l’oppidum de Murcens-Cras (Lot),” Aquitania 7 (1990) 25-51.",Büschenschütz 1990
Mihovilić 1984,"K. Mihovilić, “Rezultati sondažnog istraživanja u sjevernoj bazilici u Nezakciju (1977 godine) / Archaeological excavations in the altar space of the Nesactium northern basilica in 1977,” Histria Archaeologica 15-16 (1984/85) 5-29.",Mihovilić 1984
Fredrich 1906a,"C. Fredrich, “Skiathos und Peparethos,” AthMitt 31 (1906) 99-128.",Fredrich 1906
Hirschfeld 1992,"Y. Hirschfeld, The Judean desert monasteries in the Byzantine period, New Haven, 1992.",Hirschfeld 1992
Keil 1914,"J. Keil and A. von Premerstein, Berichte über eine dritte Reise in Lydien, DenkWien 57, 1914.",Keil 1914
Dakaris 1971,"S. Dakaris, Cassopaia and the Elean colonies, Ancient Greek Cities 4, Athens, 1971.",Dakaris 1971
Haley 1996,"E.W. Haley, “The land as map: problems of Roman land division in Baetica,” Classical Bulletin 72 (1996) 19-28.",Haley 1996
Roques 1987,"D. Roques, Synésios de Cyrène et la Cyrénaïque du Bas-Empire, Paris, 1987.",Roques 1987
Habicht 1976,"C. Habicht, “Ambrakia und der Thessalischen Bund zur Zeit des Perseuskrieges,” in Demetrias 1, BAMK 12 (1976) 178.",Habicht 1976
Law 1943,"B.C. Law, Tribes in ancient India, Poona, 1943.",Law 1943
Bernand 1991,"E. Bernand, A.J. Drewes and R. Schneider, Recueil des inscriptions de l’Ethiopie des périodes pré-axoumite et axoumite, tome 1, Paris, 1991.",Bernand 1991
Schmiedt 1967,"G. Schmiedt, “Antichi porti d’Italia, II. I porti delle colonie greche (continuazione),” L’Universo 47 (1967) 2-44.",Schmiedt 1967
Ó’Ríordáin 1947,"S.P. Ó’Ríordáin, “Roman material in Ireland,” Proceedings of the Royal Irish Academy 51C (1947) 35-82.",Ó’Ríordáin 1947
Murray 1926,"G.W. Murray, “Note on the ruins of Hitân Shenshef, near Berenice,” JEA 12 (1926) 166-67.",Murray 1926
Faure 1965,"P. Faure, “Sept nouvelles villes de la Crète antique,” KChr 19 (1965) 222-30.",Faure 1965
Eggers 1964,"H.J. Eggers, “Das kaiserzeitliche Gräberfeld von Pollwitten Kreis Mohrungen, Ostpreussen,” JRGZM 11 (1964) 154-75.",Eggers 1964
Gentelle 1989,"P. Gentelle, Prospections archéologiques en Bactriane Orientale (1974-1978), Memoires de la Mission Archéologique Française en Asie Centrale, Tome III, Paris, 1989.",Gentelle 1989
Giustolisi 1988a,"V. Giustolisi, La Petra di Calathansuderj e la “statio Pitiniana”, Palermo, 1988.",Giustolisi 1988a
French 1983,"D. French, “New research on the Euphrates frontier: supplementary notes 1 and 2,” in S. Mitchell (ed.), Armies and frontiers in Roman and Byzantine Anatolia. Proceedings of a colloquium held at University College, Swansea in April 1981, BAR International series 156, pp. 71-101, Oxford, 1983.",French 1983
Vuillemot 1954,"G. Vuillemot, “Fouilles puniques à Mersa Madakh,” Libyca: Archéologie-Epigraphie 2 (1954) 299-342.",Vuillemot 1954
Vuillemot 1955,"G. Vuillemot, “La nécropole punique du phare dans l’île Rachgoun (Oran),” Libyca: Archéologie-Epigraphie 3 (1955) 7-76.",Vuillemot 1955
Winnett 1970,"F.V. Winnett and W.L. Reed, Ancient records from North Arabia, Near and Middle Eastern Series 6, Toronto, 1970.",Winnett 1970
Lekvinadze 1973,"V.A. Lekvinadze, “O postroykakh Yustiniana v zapadnoy Gruzii,” Vizantiyskiy Vremrerik 34 (1973) 169-86.",Lekvinadze 1973
Tomea Gavazzoli 1987,"M.L. Tomea Gavazzoli (ed.), Museo Novarese. Documenti studi e progetti per una nuova immagine delle collezioni civiche, Novara, 1987.",Tomea Gavazzoli 1987
Callot 1984,"O. Callot, Huileries antiques de Syrie du Nord, Paris, 1984.",Callot 1984
Moscatelli 1993,"U. Moscatelli, “Mensuram accipere debebunt: sulla pratica agrimensoria romana in collina,” Ancient Society 24 (1993) 103-18.",Moscatelli 1993
Kahane 1977,"A.M. Kahane, “Field survey of an area south and west of La Storta,” PBSR 45 (1977) 138-90.",Kahane 1977
Slomann 1964,"W. Slomann, “En antikvarisk-historisk skisse omkring Avaldsnesfunnet,” Viking (Oslo) 28 (1964) 5-38.",Slomann 1964
Moscatelli 1990,"U. Moscatelli, “Urbs Salvia: letture preliminare di un territorio,” La Valle del Fiastra tra antichità e medioevo, Studi maceratesi 23, pp. 79-86, Macerata, 1990.",Moscatelli 1990
Dunnett 1971,"R. Dunnett, “The excavation of the Roman theatre at Gosbecks,” Britannia 2 (1971) 27-47.",Dunnett 1971
Kahane 1973,"A.M. Kahane, “A paved Roman road east from Gabii,” PBSR 41 (1973) 18-66.",Kahane 1973
Lyonnet 1996,"B. Lyonnet, “Settlement pattern in the Upper Khabur (N.E. Syria), from the Achaemenids to the Abbasid period: Methods and preliminary results from a survey,” in K. Bartl and S.R. Hauser (eds.), Continuity and change in northern Mesopotamia from the Hellenistic to the early Islamic period, Berliner Beiträge zum Vorderen Orient 17, pp. 349-61, Berlin, 1996.",Lyonnet 1996
Şahin 1989,"S. Şahin, “Zur Identifikation einer Ortschaft und einer Büste: ΙΣΒΑΡΔΙΑ=ISPARTA?,” EpAnat 13 (1989) 125-26.",Şahin 1989
Desaye 1986,"H. Desaye, “Les voies de communications entre la combe de Die et le sillon alpin dans l’antiquité et au Moyen-Age,” Etudes Drômoises 3 (1986) 35-40.",Desaye 1986
Liou 1987,"B. Liou, “Les découvertes archéologiques du Golfe de Fos et le tracé du littoral antique,” Déplacements des lignes de rivage en Méditerranée d’après les données de l’archéologie, pp. 59-65, Paris, 1987.",Liou 1987
Schaus 1994,"G.P. Schaus and N. Spencer, “Notes on the topography of Eresos,” AJA 98 (1994) 411-30.",Schaus 1994
Voigt 1976,"M. Voigt, “Hajji Firuz Tepe: an economic reconstruction of a sixth millenium community in western Iran,” diss., University of Pennsylvania, 1976.",Voigt 1976
Haggis 1992,"D.C. Haggis, “The Kavousi-Thriphti survey: an analysis of settlement patterns in an area of eastern Crete in the Bronze Age and Early Iron Age,” diss., University of Minnesota, 1992.",Haggis 1992
Gorges 1979,"J.G. Gorges, Les villas hispano-romaines. Inventaire et problématique archéologiques, Publications du Centre Pierre Paris 4, Paris, 1979.",Gorges 1979
Jacopi 1929,"G. Jacopi, Scavi nella necropoli di Jalisso, 1924-1928, Clara Rhodos 3, 1929.",Jacopi 1929
Trump 1972,"D.M. Trump, Malta: an archaeological guide, London, 1972.",Trump 1972
Beschaouch 1979,"A. Beschaouch, “Eléments celtiques dans la population du pays de Carthage,” CRAI (1979) 394-409.",Beschaouch 1979
Samsares 1986,"D. K. Samsares, “Pennana,” Dodone 15.1 (1986) 69-84.",Samsares 1986
Marion 1950,"J. Marion, “Les agglomérations antiques de la région de Paul-Robert,” RevAfr 94 (1950) 209-58.",Marion 1950
Mingazzini 1940,"P. Mingazzini, “Petralia Sottana (Palermo) . Avanzi di villa rustica in contrada ‘Muratore’,” NSc (1940) 227-33.",Mingazzini 1940
Sunter 1986,"N. Sunter and P.J. Woodward, Romano-British industries in Purbeck, Dorchester, 1986.",Sunter 1986
Carrington 1994,"P. Carrington, English Heritage book of Chester, London, 1994.",Carrington 1994
Jones 1990,"G.D.B. Jones and D. Mattingly, An atlas of Roman Britain, Oxford, 1990.",Jones 1990
Goodchild 1976c,"R.G. Goodchild, Libyan Studies: selected papers of the late R. G. Goodchild, J.M. Reynolds (ed.), London, 1976. pp. 145-54 = “Mapping Roman Libya,” GeogJ 118 (1952) 142-52. pp. 155-72 = “Arae Philaenorum and Automalax,” PBSR 20 (1952) 94-110. pp. 173-86 = “‘Libyan’ forts in south-west Cyrenaica,” Antiquity 25 (1951) 131-44. pp. 195-209 = “The Roman and Byzantine Limes in Cyrenaica,” JRS 43 (1953) 65-76.",Goodchild 1976
Ilkjaer 1975,"J. Ilkjaer, “Et bundt våben fra Vimose,” Kuml (1975) 117-62.",Ilkjaer 1975
Fiedler 1986,"U. Fiedler, “Zur Datierung der Langwälle an der mittleren und unteren Donau,” Archäologisches Korrespondenzblatt 16.4 (1986) 457-65.",Fiedler 1986
Jones 1994,"C.P. Jones, “Manthion pedion,” VDI 2 (1994) 142-50.",Jones 1994
Guaitoli 1974,"M. Guaitoli, F. Piccarreta and P. Sommella, “Contributi per una carta archeologica del territorio di Castel di Decima,” QuadTopA 6 (1974) 43-130.",Guaitoli 1974
Adams 1965,"R.McC. Adams, Land behind Baghdad: a history of settlement on the Diyala plain, Chicago, 1965.",Adams 1965
Goodchild 1976b,"R.G. Goodchild, Libyan Studies: select papers of the late R. G. Goodchild, J.M. Reynolds (ed.), London, 1976. pp. 133-42 = “Medina Sultan (Charax, Iscina, Sort),” LibAnt 1 (1964) 99-106. pp. 145-54 = “Mapping Roman Libya,” GeogJ 118 (1952) 142-52. pp. 155-72 = “Arae Philaenorum and Automalax,” PBSR 20 (1952) 94-110. pp. 173-86 = “Libyan forts in south-west Cyrenaica,” Antiquity 25 (1951) 131-44. pp. 187-94 = “Boreum of Cyrenaica,” JRS 41 (1951) 11-16.",Goodchild 1976
Yoyotte 1996,"J. Yoyotte et al., L’Egypte du Delta, les capitales du Nord, Dossiers d’Archéologie 213, Dijon, 1996.",Yoyotte 1996
Bermond 1989,"I. Bermond, M. Lugand and C. Pellecuer, “Le site de Mas Lavit, commune de Mèze (Hérault) : essai de prospection systématique d’un habitat antique et médiéval,” AL 14 (1989) 43-57.",Bermond 1989
Fernández Castro 1982,"M.C. Fernández Castro, Villas romanas en España, Madrid, 1982.",Fernández Castro 1982
Mikeladze 1978,"T.K. Mikeladze, Arkeologiuri kvleva-dzieba rionis kvemo tselze, Tbilisi, 1978.",Mikeladze 1978
Bellair 1953,"P. Bellair et al., Mission au Fezzan, Tunis, 1953.",Bellair 1953
Thierry 1983,"M. Thierry, “Notes d’un voyage archéologique en Turquie orientale,” Handes Amsorya 97 (1983) no. 7-12, 379-406.",Thierry 1983
Yoyotte 1991,"J. Yoyotte, “Les contacts entre Egyptiens et Grecs: Naucratis, ville égyptienne,” Annuaire du collège de France 92 (1991-92) 634-44; 94 (1993-94) 679-94; 95 (1994-95) 669-83.",Yoyotte 1991
Pioro 1990,"I.S. Pioro, Krymskaya Gotiya. Ocherki istorii naseleniya Kryma v pozdneprimorskii period i rannee srednevekov'e, Kiev, 1990.",Pioro 1990
Hässler 1991,"H.-J. Hässler (ed.), Ur- und Frühgeschichte in Niedersachsen, Stuttgart, 1991.",Hässler 1991
Di Vita 1958,"A. Di Vita, “Camarina e Scornavacche in età timoleontea,” Kokalos 4 (1958) 83-99.",Di Vita 1958
Di Vita 1959,"A. Di Vita, “Breve rassegna degli scavi archeologici condotti in provincia di Ragusa nel quadriennio 1955-1959,” BdA 44 (1959) 347-63.",Di Vita 1959
Oikonomakis 1986,"N.E. Oikonomakis, “Το υδραγωγείο της Χερσονήσου,” Λύκτος. Περιοδική επιστημονική έκδοση του συλλόγου πεδιαδίτων 2 (1986) 50-98.",Oikonomakis 1986
Lancel 1982,"S. Lancel, “Tipasa de Maurétanie: histoire et archéologie,” ANRW II.10.2 (1982) 739-86.",Lancel 1982
Ramage 1971,"A. Ramage and N. Ramage, “The siting of Lydian burial mounds,” in D.G. Mitten et al. (eds.), Studies presented to George M.A. Hanfmann, pp. 143-60, Mainz, 1971.",Ramage 1971
Şahin 1981,"S. Şahin (ed.), Katalog der antiken Inschriften des Museums von İznik (Nikaia), vol. 2, parts 1-2, Bonn, 1981-82.",Şahin 1981
Brogan 1971,"O. Brogan, “First and second century settlement in the Tripolitanian pre-desert,” in F.F. Gadallah (ed.), Libya in history. Proceedings of a conference held at the Faculty of Arts, University of Libya, 1968, pp. 121-30, Benghazi, 1971.",Brogan 1971
Mauny 1963,"R. Mauny, “La voie romaine de Tours à Poitiers (section Tours-Port-de-Piles),” Bulletin de la Société archéologique de Touraine 25 (1963) 297-308.",Mauny 1963
Evans 1991,"J.A.S. Evans, “The Faiyum and the lake of Moeris,” AHBull 5 (1991) 66-74.",Evans 1991
Brogan 1975,"O. Brogan, “Inscriptions in the Libyan alphabet from Tripolitania and some notes on the tribes of the region,” in J. Bynon and T. Bynon (eds.), Hamito-Semitica, pp. 267-89, The Hague and Paris, 1975.",Brogan 1975
Bizeul 1844,"L.-J.M. Bizeul, “Voie romaine de Nantes vers Limoges et par embranchement vers Angoulême,” Annales de la Société académique de Nantes 15 (1844) 258-308.",Bizeul 1844
Brogan 1977,"O. Brogan, “Some ancient sites in eastern Tripolitania,” LibAnt 13-14 (1977) 93-129.",Brogan 1977
Magomedov 1984,"B.V. Magomedov, “Chernyakhovskiye pamyatniki prichernomorskovo tipa,” KSIA 178 (1984) 60-66.",Magomedov 1984
Hewsen 1983,"R.H. Hewsen, “Introduction to Armenian historical geography II: the boundaries of Achaemenid ‘Armina’,” REArm n.s. 17 (1983) 123-43.",Hewsen 1983
Velkov 1977,"V. Velkov, Cities in Thrace and Dacia in Late Antiquity (studies and materials), Amsterdam, 1977.",Velkov 1977
Plachá 1986,"V. Plachá and K. Pieta, “Römerzeitliche Besiedlung von Bratislava-Devín,” ArchRoz 38 (1986) 339-57.",Plachá 1986
Menghin 1990,"W. Menghin, Frühgeschichte Bayerns. Römer und Germanen, Bayern und Schwaben, Franken und Slawen, Stuttgart, 1990.",Menghin 1990
O’Connell 1994,"M. O’Connell and J. Bird, “The Roman temple at Wanborough: excavation 1985-1986,” Surrey Archaeological Collections 82 (1994) 1-168.",O’Connell 1994
Tiratsian 1985,"G.A. Tiratsian, “Yuzhnoye Zakavkaz’ye,” in G.A. Koshelenko (ed.), Drevneyshiye gosudarstva Kavkaza i Sredney Azii, Moscow, 1985, 60-78.",Tiratsian 1985
Velo 1964,"P. Velo, La Fortaleza Nubia de Cheikh-Daud, Madrid, 1964.",Velo 1964
Summers 1992,"G.D. Summers, “An aerial survey of Çevre Kale, Yaraşlı,” AnatSt 42 (1992) 179-206.",Summers 1992
Jones 1971,"A.H.M. Jones, The cities of the eastern Roman provinces, 2 ed., Oxford, 1971.",Jones 1971
Cerrata 1933,"L. Cerrata, Sirtis, Avellino, 1933.",Cerrata 1933
Slabe 1993,"M. Slabe, Antična nekropola na Pristavi pri Trebnjem / The Roman cemetery at Pristava near Trebnje, Ljubljana, 1993.",Slabe 1993
Jones 1974,"G.D.B. Jones and S. Grealey, Roman Manchester, Manchester, 1974.",Jones 1974
Robert 1973,"L. Robert, “Sur des inscriptions de Délos,” in Etudes déliennes, BCH Suppl. 1, pp. 435-89, Paris, 1973.",Robert 1973
Orsi 1906,"P. Orsi, “Cimitero cristiano del IV secolo in contrada Michelica presso Modica (Sicilia),” Nuovo Bullettino di Archeologia Cristiana 12 (1906) 172-75.",Orsi 1906
Ward-Perkins 1993,"J.B. Ward-Perkins, The Severan buildings of Lepcis Magna, London, 1993.",Ward-Perkins 1993
Spratt 1847,"T.A.B. Spratt and E. Forbes, Travels in Lycia, 2 vols., London, 1847.",Spratt 1847
Canzanella 1993,"M.G. Canzanella, “L’insediamento rurale nella regione di Entella dall’età arcaica al VII sec. d. C. Materiali e contributi”, in G. Nenci (ed.), Alla ricerca di Entella, pp. 197-338, Pisa, 1993.",Canzanella 1993
Pröll 1998,"J. Pröll et al., “Ein Streckenabschnitt der Via Claudia Augusta in Nordtirol. Die Grabungen am Prügelweg Lermoos/Bez. Reutte 1992-1995,” in E. Walde (ed.), Via Claudia. Neue Forschungen, pp. 15-171, Innsbruck, 1998.",Pröll 1998
De La Genière 1977,"J. De La Genière, “Torano Castello (Cosenza) . Scavi nella necropoli (1965) e saggi in contrada Cozzo la Torre (1967),” NSc ser. 8 vol. 31 (1977) 389-422.",De La Genière 1977
La Rosa 1989,"V. La Rosa, “Le popolazioni della Sicilia: Sicani, Siculi, Elimi,” in G. Pugliese Carratelli (ed.), Italia omnium terrarum parens. Le civiltà degli Enotri, Choni, Ausoni, Sanniti, Lucani, Bretti, Sicani, Siculi, Elimi, pp. 3-112, Milan, 1989.",La Rosa 1989
Maurin 1992,"L. Maurin et al., Les racines de l’Aquitaine: vingt siècles d’histoire d’une région, Paris, 1992.",Maurin 1992
Fleischer 1964,"R. Fleischer, “Immurium-Moosham,” ÖJh 47 (1964/65) Beib. 106-208; 48 (1966/67) Beib. 166-230; 49 (1968-71) Beib. 177-227.",Fleischer 1964
Maurin 1995,"L. Maurin, “Pagus Mercurialis Veteranorum Medelitanorum. Implantations vétans dans la vallée de l’Oued Miliane. Le dossier épigraphique,” MEFR (1995) 97-135.",Maurin 1995
Schmiedt 1959,"G. Schmiedt and R. Chevallier, Caulonia e Metaponto. Applicazioni della fotografia aerea in ricerche di topografia antica nella Magna Grecia, Florence, 1959.",Schmiedt 1959
Mozia I-IX,"A. Ciasca et al., Mozia. Rapporto preliminare della Missione archeologica della soprintendenza alle antichità della Sicilia occidentale e dell’Università di Roma, 9 vols., Rome, 1964-78.",Mozia I-IX
Fadel Ali 1995a,"M. Fadel Ali and J.M. Reynolds, “Inscriptions from the cemetery at Karsa,” LibAnt n.s. 1 (1995) 73-78.",Fadel Ali 1995
Uggeri 1989,"G. Uggeri, “Insediamenti, viabilità e commerci di età romana nel ferrarese,” in Storia di Ferrara 3.1, pp. 1-201, Ferrara, 1989.",Uggeri 1989
CAG 24/1,"H. Gaillard, Carte archéologique de la Gaule 24/1. La Dordogne, Paris, 1997.",CAG 24/1
Cairns 1984,"F. Cairns, “A ‘duplicate’ copy of IG XII.9, 1189 (Histiaia),” ZPE 54 (1984) 133-44.",Cairns 1984
Moretti 1977,"M. Moretti and A.M. Sgubini Moretti, La villa dei Volusii a Lucus Feroniae, Rome, 1977.",Moretti 1977
Thollard 1984,"P. Thollard, “Strabon, Lyon, Vienne et les Ségusiaves,” RAN 17 (1984) 115-22.",Thollard 1984
Uggeri 1983,"G. Uggeri, La viabilità romana nel Salento, Mesagne, 1983.",Uggeri 1983
Uggeri 1986,"G. Uggeri, “Il sistema viario romano in Sicilia e le sopravvivenze medioevali,” in C. Damiano Fonseca (ed.), La Sicilia rupestre nel contesto delle civiltà mediterranee, pp. 85-112, Galatina, 1986.",Uggeri 1986
Lordkipanidze G.A. 1991,"G.A. Lordkipanidze, Bichvintis nakalakari, Tbilisi, 1991.",Lordkipanidze 1991
Janin 1964,"R. Janin, Constantinople byzantine: développement urbain et répertoire topographique, Paris, 1964.",Janin 1964
Conticello de’ Spagnolis 1989,"M. Conticello de’ Spagnolis, “Il ritrovamento di località Tre Ponti di Scafati e la via extraurbana Pompei-Sarno,” RivStPomp III (1989) 41-52.",Conticello de’ Spagnolis 1989
Lloyd 1975b,"A.B. Lloyd, Herodotus, book II, 3 vols., Leiden, 1975-88.",Lloyd 1975
CAG 49,"M. Provost, Carte archéologique de la Gaule 49. Le Maine-et-Loire, Paris, 1988.",CAG 49
CAG 48,"D. Fabrié, Carte archéologique de la Gaule 48. La Lozère, Paris, 1989.",CAG 48
CAG 47,"B. Fages, Carte archéologique de la Gaule 47. Le Lot-et-Garonne, Paris, 1995.",CAG 47
CAG 46,"M. Labrousse and G. Mercadier, Carte archéologique de la Gaule 46. Le Lot, Paris, 1990.",CAG 46
CAG 45,"M. Provost, Carte archéologique de la Gaule 45. Le Loiret, Paris, 1988.",CAG 45
CAG 44,"M. Provost, Carte archéologique de la Gaule 44. La Loire-Atlantique, Paris, 1988.",CAG 44
CAG 43,"M. Provost and B. Rémy, Carte archéologique de la Gaule 43. La Haute-Loire, Paris, 1994.",CAG 43
CAG 42,"M.-O. Lavendhomme, Carte archéologique de la Gaule 42. La Loire, Paris, 1997.",CAG 42
CAG 41,"M. Provost, Carte archéologique de la Gaule 41. Le Loir-et-Cher, Paris, 1988.",CAG 41
CAG 40,"B. Boyrie-Fénié, Carte archéologique de la Gaule 40. Les Landes, Paris, 1994.",CAG 40
Möller 1976,"C. Möller and G. Schmitt, Siedlungen Palästinas nach Flavius Josephus, Wiesbaden, 1976.",Möller 1976
Römer Baden-Württemberg,"P. Filtzinger, D. Planck and B. Cämmerer (eds.), Die Römer in Baden-Württemberg, 3 ed., Stuttgart and Aalen, 1986.",Römer Baden-Württemberg
Aharoni 1954,"Y. Aharoni, “The Roman road to Aila (Elath),” IEJ 4 (1954) 9-16.",Aharoni 1954
Toumanoff 1963,"C. Toumanoff, Studies in Christian Caucasian history, Washington, DC, 1963.",Toumanoff 1963
Gardiner 1947,"A.H. Gardiner, Ancient Egyptian Onomastica, vol. 2, Oxford, 1947.",Gardiner 1947
Morel 1963,"J.-P. Morel, “Recherches archéologiques et topographiques dans la région d’Assoro (province d’Enna, Sicile),” MEFR 75 (1963) 263-301.",Morel 1963
Hermary 1992,"A. Hermary, “Le sanctuaire de Zeus Labranios à Phasoula,” in G.C. Ioannides (ed.), Studies in honour of Vassos Karageorghis, pp. 333-37, Nicosia, 1992.",Hermary 1992
Bayard 1996,"D. Bayard and J.-L. Collart (eds.), De la ferme indigène à la villa romaine: la romanisation des campagnes de la Gaule, Revue Archéologique de Picardie num. sp. 11, Amiens, 1996.",Bayard 1996
Ruprechtsberger 1989,"E.M. Ruprechtsberger, Die Garamantien, AW 20, Freiburg, 1989.",Ruprechtsberger 1989
Benseddik 1982,"N. Benseddik, Les troupes auxiliaires de l’armée romaine en Maurétanie Césarienne sous le Haut-Empire, Algiers, n.d. (1982) .",Benseddik 1982
Pokorny 1954,"J. Pokorny, “Die Geographie Irlands bei Ptolemaios,” Zeitschrift für Celtische Philologie 29 (1954) 94-120.",Pokorny 1954
Rougemont 1993,"G. Rougemont et al., “Recherches à Amorgos. Le site et le rempart d’Arkésine,” in R. Dalongeville and G. Rougemont (eds.), Recherches dans les Cyclades, Collection de la Maison de l’Orient méditerranéen 23, Série archéologique 13, pp. 97-122, Lyon, 1993.",Rougemont 1993
Branigan 1998,"K. Branigan, “Prehistoric and early historic settlement in the Ziros region, eastern Crete,” BSA 93 (1998) 23-90.",Branigan 1998
Blanc 1959,"A. Blanc, “Le temple du Chatelet à Andance (Ardèche),” CahRhodBord 6 (1959) 48-51.",Blanc 1959
Blanc 1958,"A. Blanc and P. Valette, “L’oppidum de Malpas à Soyons (Ardèche),” CahRhod 5 (1958) 74-79.",Blanc 1958
